Draw Date	Winning Numbers	Multiplier
9/26/20	11 21 27 36 62 24	3
9/30/20	14 18 36 49 67 18	2
10/3/20	18 31 36 43 47 20	2
10/7/20	06 24 30 53 56 19	2
10/10/20	05 18 23 40 50 18	3
10/14/20	21 37 52 53 58 05	2
10/17/20	06 10 31 37 44 23	2
10/21/20	01 03 13 44 56 26	3
10/24/20	18 20 27 45 65 06	2
10/28/20	11 28 37 40 53 13	2
10/31/20	02 06 40 42 55 24	3
11/4/20	23 32 33 45 49 14	2
11/7/20	14 16 37 48 58 18	2
11/11/20	13 15 17 45 63 13	2
11/14/20	07 15 18 32 45 20	2
11/18/20	04 05 17 43 52 05	2
11/21/20	51 54 57 60 69 11	2
11/25/20	02 57 58 60 65 26	2
11/28/20	08 12 18 44 51 18	2
12/2/20	28 31 40 41 46 04	3
12/5/20	03 04 06 48 53 10	2
12/9/20	11 14 31 47 48 04	3
12/12/20	17 54 56 63 69 20	2
12/16/20	04 23 37 61 67 07	2
12/19/20	27 32 34 43 52 13	2
12/23/20	06 13 38 39 53 06	3
12/26/20	10 24 27 35 53 18	2
12/30/20	03 43 45 61 65 14	2
1/2/21	03 04 11 41 67 05	2
1/6/21	01 20 22 60 66 03	3
1/9/21	14 26 38 45 46 13	2
1/13/21	04 19 23 25 49 14	2
1/16/21	14 20 39 65 67 02	3
1/20/21	40 53 60 68 69 22	3
1/23/21	05 08 17 27 28 14	3
1/27/21	17 33 35 42 52 09	3
1/30/21	01 02 07 52 61 04	3
2/3/21	05 37 40 64 66 05	3
2/6/21	01 16 48 49 65 08	2
2/10/21	15 39 58 63 67 07	2
2/13/21	20 28 33 63 68 20	2
2/17/21	01 15 21 32 46 01	3
2/20/21	04 08 22 32 58 04	10
2/24/21	04 33 43 53 65 21	3
2/27/21	02 28 31 44 52 18	3
3/3/21	21 40 44 50 55 16	3
3/6/21	11 31 50 52 58 18	4
3/10/21	17 18 37 44 53 18	3
3/13/21	05 11 51 56 61 02	2
3/17/21	34 38 42 61 62 19	2
3/20/21	01 06 22 42 61 04	3
3/24/21	04 09 17 27 38 18	2
3/27/21	06 14 38 39 65 06	3
